time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-03 00:00:00+00:00,64,12,798,127
2022-08-04 00:00:00+00:00,22,15,980,278
2022-08-05 00:00:00+00:00,25,8,677,178
2022-08-06 00:00:00+00:00,36,11,373,113
2022-08-07 00:00:00+00:00,169,20,730,187
2022-08-08 00:00:00+00:00,109,10,708,172
2022-08-09 00:00:00+00:00,89,12,612,168
2022-08-10 00:00:00+00:00,53,11,786,181
2022-08-11 00:00:00+00:00,77,10,723,161
2022-08-12 00:00:00+00:00,44,12,419,133
2022-08-13 00:00:00+00:00,114,11,828,281
2022-08-14 00:00:00+00:00,22,12,2487,1076
2022-08-15 00:00:00+00:00,52,15,1476,362
2022-08-16 00:00:00+00:00,148,22,1701,561
2022-08-17 00:00:00+00:00,63,22,2266,700
2022-08-18 00:00:00+00:00,137,17,2079,467
2022-08-19 00:00:00+00:00,71,12,1861,461
2022-08-20 00:00:00+00:00,114,11,1332,356
2022-08-21 00:00:00+00:00,214,11,1548,312
2022-08-22 00:00:00+00:00,60,14,1982,557
2022-08-23 00:00:00+00:00,164,10,1523,433
2022-08-24 00:00:00+00:00,97,11,1286,311
2022-08-25 00:00:00+00:00,116,15,868,219
2022-08-26 00:00:00+00:00,164,8,1136,351
2022-08-27 00:00:00+00:00,42,14,1205,343
2022-08-28 00:00:00+00:00,94,12,1433,301
2022-08-29 00:00:00+00:00,55,13,1609,364
2022-08-30 00:00:00+00:00,73,12,1130,258
2022-08-31 00:00:00+00:00,114,13,1442,250
2022-09-01 00:00:00+00:00,22,7,924,231
2022-09-02 00:00:00+00:00,21,8,1082,345
2022-09-03 00:00:00+00:00,9,5,743,271
2022-09-04 00:00:00+00:00,167,13,918,196
2022-09-05 00:00:00+00:00,268,12,1126,240
2022-09-06 00:00:00+00:00,115,10,1496,462
2022-09-07 00:00:00+00:00,214,17,3134,855
2022-09-08 00:00:00+00:00,137,14,8398,3571
2022-09-09 00:00:00+00:00,78,13,4036,1526
2022-09-10 00:00:00+00:00,163,19,2821,913
2022-09-11 00:00:00+00:00,138,12,1639,517
2022-09-12 00:00:00+00:00,61,14,2038,560
2022-09-13 00:00:00+00:00,147,11,2849,765
2022-09-14 00:00:00+00:00,138,14,1937,573
2022-09-15 00:00:00+00:00,38,13,1620,546
2022-09-16 00:00:00+00:00,81,16,2132,818
2022-09-17 00:00:00+00:00,81,8,1282,411
2022-09-18 00:00:00+00:00,100,11,1313,478
2022-09-19 00:00:00+00:00,157,18,1675,511
2022-09-20 00:00:00+00:00,18,15,1402,401
2022-09-21 00:00:00+00:00,51,14,1488,381
2022-09-22 00:00:00+00:00,123,14,854,260
2022-09-23 00:00:00+00:00,150,12,1050,272
2022-09-24 00:00:00+00:00,75,11,718,211
2022-09-25 00:00:00+00:00,8,7,864,232
2022-09-26 00:00:00+00:00,24,11,812,255
2022-09-27 00:00:00+00:00,49,16,638,209
2022-09-28 00:00:00+00:00,205,15,1019,260
2022-09-29 00:00:00+00:00,58,14,885,263
2022-09-30 00:00:00+00:00,53,12,1283,248
2022-10-01 00:00:00+00:00,105,13,1455,452
2022-10-02 00:00:00+00:00,125,14,1125,362
2022-10-03 00:00:00+00:00,24,12,776,276
2022-10-04 00:00:00+00:00,98,12,1008,268
2022-10-05 00:00:00+00:00,124,14,849,276
2022-10-06 00:00:00+00:00,292,16,1051,219
2022-10-07 00:00:00+00:00,128,14,755,246
2022-10-08 00:00:00+00:00,28,15,977,316
2022-10-09 00:00:00+00:00,32,9,1278,471
2022-10-10 00:00:00+00:00,52,18,1196,320
2022-10-11 00:00:00+00:00,34,14,1070,414
2022-10-12 00:00:00+00:00,136,12,977,239
2022-10-13 00:00:00+00:00,55,17,965,203
2022-10-14 00:00:00+00:00,128,20,916,224
2022-10-15 00:00:00+00:00,26,13,738,230
2022-10-16 00:00:00+00:00,38,12,868,242
2022-10-17 00:00:00+00:00,67,14,989,243
2022-10-18 00:00:00+00:00,43,12,661,201
2022-10-19 00:00:00+00:00,38,9,571,229
2022-10-20 00:00:00+00:00,26,12,875,258
2022-10-21 00:00:00+00:00,69,16,921,319
2022-10-22 00:00:00+00:00,49,8,741,216
2022-10-23 00:00:00+00:00,180,15,1115,262
2022-10-24 00:00:00+00:00,195,13,1247,296
2022-10-25 00:00:00+00:00,175,11,971,236
2022-10-26 00:00:00+00:00,119,16,863,245
2022-10-27 00:00:00+00:00,59,12,808,222
2022-10-28 00:00:00+00:00,177,32,731,198
2022-10-29 00:00:00+00:00,119,23,893,209
2022-10-30 00:00:00+00:00,112,27,1026,208
2022-10-31 00:00:00+00:00,93,25,1225,399
2022-11-01 00:00:00+00:00,115,22,908,249
2022-11-02 00:00:00+00:00,58,19,728,202
2022-11-03 00:00:00+00:00,98,24,736,202
2022-11-04 00:00:00+00:00,416,55,1104,297
2022-11-05 00:00:00+00:00,123,19,673,196
2022-11-06 00:00:00+00:00,77,21,1181,374
2022-11-07 00:00:00+00:00,201,39,2025,637
2022-11-08 00:00:00+00:00,177,49,1607,386
2022-11-09 00:00:00+00:00,197,49,1229,306
2022-11-10 00:00:00+00:00,110,24,958,260
