time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-03 00:00:00+00:00,64,12,798,127
2022-08-04 00:00:00+00:00,22,15,980,278
2022-08-05 00:00:00+00:00,25,8,677,178
2022-08-06 00:00:00+00:00,36,11,373,113
2022-08-07 00:00:00+00:00,169,20,730,187
2022-08-08 00:00:00+00:00,109,10,708,172
2022-08-09 00:00:00+00:00,89,12,612,168
2022-08-10 00:00:00+00:00,53,11,786,181
2022-08-11 00:00:00+00:00,77,10,723,161
2022-08-12 00:00:00+00:00,44,12,419,133
2022-08-13 00:00:00+00:00,114,11,828,281
2022-08-14 00:00:00+00:00,22,12,2487,1076
2022-08-15 00:00:00+00:00,52,15,1476,362
2022-08-16 00:00:00+00:00,148,22,1701,561
2022-08-17 00:00:00+00:00,63,22,2266,700
2022-08-18 00:00:00+00:00,137,17,2079,467
2022-08-19 00:00:00+00:00,71,12,1861,461
2022-08-20 00:00:00+00:00,114,11,1332,356
2022-08-21 00:00:00+00:00,214,11,1548,312
2022-08-22 00:00:00+00:00,60,14,1982,557
2022-08-23 00:00:00+00:00,164,10,1523,433
2022-08-24 00:00:00+00:00,90,10,1252,299
