time_iso8601,forks_cumulative
2022-02-06 00:00:00+00:00,2
2022-02-07 00:00:00+00:00,4
2022-02-10 00:00:00+00:00,5
2022-02-11 00:00:00+00:00,6
2022-02-20 00:00:00+00:00,7
2022-02-22 00:00:00+00:00,8
2022-03-03 00:00:00+00:00,10
2022-03-04 00:00:00+00:00,11
2022-03-06 00:00:00+00:00,12
2022-03-19 00:00:00+00:00,13
2022-03-29 00:00:00+00:00,17
2022-03-31 00:00:00+00:00,18
2022-04-05 00:00:00+00:00,19
2022-04-11 00:00:00+00:00,20
2022-04-30 00:00:00+00:00,23
2022-05-01 00:00:00+00:00,24
2022-05-09 00:00:00+00:00,25
2022-05-14 00:00:00+00:00,26
2022-05-17 00:00:00+00:00,27
2022-05-20 00:00:00+00:00,29
2022-05-23 00:00:00+00:00,32
2022-05-24 00:00:00+00:00,33
2022-05-25 00:00:00+00:00,34
2022-06-02 00:00:00+00:00,38
2022-06-05 00:00:00+00:00,39
2022-06-06 00:00:00+00:00,41
2022-06-11 00:00:00+00:00,42
2022-06-13 00:00:00+00:00,43
2022-06-21 00:00:00+00:00,44
2022-06-22 00:00:00+00:00,45
2022-06-23 00:00:00+00:00,46
2022-06-24 00:00:00+00:00,48
2022-06-25 00:00:00+00:00,49
2022-06-27 00:00:00+00:00,53
2022-07-03 00:00:00+00:00,54
2022-07-04 00:00:00+00:00,56
2022-07-05 00:00:00+00:00,57
2022-07-07 00:00:00+00:00,58
2022-07-08 00:00:00+00:00,59
2022-07-11 00:00:00+00:00,60
2022-07-13 00:00:00+00:00,61
2022-07-14 00:00:00+00:00,62
2022-07-15 00:00:00+00:00,63
2022-07-17 00:00:00+00:00,64
2022-07-27 00:00:00+00:00,66
2022-07-28 00:00:00+00:00,68
2022-07-30 00:00:00+00:00,69
2022-08-02 00:00:00+00:00,72
2022-08-04 00:00:00+00:00,74
2022-08-14 00:00:00+00:00,75
2022-08-15 00:00:00+00:00,77
2022-08-16 00:00:00+00:00,79
2022-08-17 00:00:00+00:00,83
2022-08-18 00:00:00+00:00,86
2022-08-19 00:00:00+00:00,88
2022-08-20 00:00:00+00:00,89
2022-08-21 00:00:00+00:00,91
2022-08-22 00:00:00+00:00,95
2022-08-23 00:00:00+00:00,99
2022-08-24 00:00:00+00:00,101
2022-08-25 00:00:00+00:00,104
2022-08-27 00:00:00+00:00,105
2022-08-28 00:00:00+00:00,106
2022-08-29 00:00:00+00:00,108
2022-08-30 00:00:00+00:00,111
2022-08-31 00:00:00+00:00,112
2022-09-01 00:00:00+00:00,113
2022-09-03 00:00:00+00:00,114
2022-09-06 00:00:00+00:00,116
2022-09-07 00:00:00+00:00,118
2022-09-08 00:00:00+00:00,125
2022-09-09 00:00:00+00:00,130
2022-09-10 00:00:00+00:00,133
2022-09-12 00:00:00+00:00,134
2022-09-13 00:00:00+00:00,140
2022-09-14 00:00:00+00:00,145
2022-09-15 00:00:00+00:00,147
2022-09-16 00:00:00+00:00,151
2022-09-17 00:00:00+00:00,153
2022-09-19 00:00:00+00:00,154
2022-09-20 00:00:00+00:00,157
2022-09-21 00:00:00+00:00,158
2022-09-22 00:00:00+00:00,160
2022-09-23 00:00:00+00:00,161
2022-09-26 00:00:00+00:00,163
2022-09-27 00:00:00+00:00,164
2022-09-28 00:00:00+00:00,165
2022-09-29 00:00:00+00:00,166
2022-10-01 00:00:00+00:00,167
2022-10-03 00:00:00+00:00,168
2022-10-04 00:00:00+00:00,169
2022-10-05 00:00:00+00:00,172
2022-10-07 00:00:00+00:00,173
2022-10-09 00:00:00+00:00,175
2022-10-10 00:00:00+00:00,176
2022-10-11 00:00:00+00:00,178
2022-10-15 00:00:00+00:00,179
2022-10-17 00:00:00+00:00,183
2022-10-23 00:00:00+00:00,184
2022-10-24 00:00:00+00:00,185
2022-10-25 00:00:00+00:00,186
2022-10-26 00:00:00+00:00,187
2022-10-27 00:00:00+00:00,188
2022-10-29 00:00:00+00:00,190
2022-11-02 00:00:00+00:00,191
2022-11-04 00:00:00+00:00,193
2022-11-05 00:00:00+00:00,194
